Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD,PD1,PD2
Constant,2,1,0.1,Simulation,0.0,0.156417,0.079815,0.076602
Exponential,2,1,0.1,Simulation,0.0,0.344305,0.173447,0.170858
Constant,2,1,0.2,Simulation,0.0,0.178184,0.092946,0.085238
Exponential,2,1,0.2,Simulation,0.0,0.355224,0.179275,0.175949
Constant,2,1,0.3,Simulation,0.0,0.201332,0.106562,0.09477
Exponential,2,1,0.3,Simulation,0.0,0.369203,0.187468,0.181735
Constant,2,1,0.4,Simulation,0.0,0.223717,0.11938,0.104337
Exponential,2,1,0.4,Simulation,0.0,0.379511,0.193826,0.185685
Constant,2,1,0.5,Simulation,0.0,0.247134,0.13301,0.114124
Exponential,2,1,0.5,Simulation,0.0,0.392491,0.201536,0.190955
Constant,2,1,0.6,Simulation,0.0,0.269525,0.146575,0.12295
Exponential,2,1,0.6,Simulation,0.0,0.404855,0.208567,0.196288
Constant,2,1,0.7,Simulation,0.0,0.292633,0.159937,0.132696
Exponential,2,1,0.7,Simulation,0.0,0.417109,0.215989,0.20112
Constant,2,1,0.8,Simulation,0.0,0.315157,0.172245,0.142912
Exponential,2,1,0.8,Simulation,0.0,0.429363,0.222896,0.206467
Constant,2,1,0.9,Simulation,0.0,0.337785,0.185474,0.152311
Exponential,2,1,0.9,Simulation,0.0,0.44292,0.230485,0.212435
Constant,2,1,1.0,Simulation,2e-06,0.360136,0.198567,0.161569
Exponential,2,1,1.0,Simulation,1e-06,0.455665,0.237837,0.217828
Constant,2,1,1.1,Simulation,1e-06,0.38297,0.21139,0.17158
Exponential,2,1,1.1,Simulation,0.0,0.468298,0.245731,0.222567
Constant,2,1,1.2,Simulation,0.0,0.40219,0.222383,0.179807
Exponential,2,1,1.2,Simulation,0.0,0.481127,0.252957,0.22817
Constant,2,1,1.3,Simulation,3e-06,0.423106,0.234153,0.188953
Exponential,2,1,1.3,Simulation,0.0,0.495573,0.261004,0.234569
Constant,2,1,1.4,Simulation,5e-06,0.442752,0.245284,0.197468
Exponential,2,1,1.4,Simulation,3e-06,0.505835,0.266885,0.23895
Constant,2,1,1.5,Simulation,1.3e-05,0.461584,0.255905,0.205679
Exponential,2,1,1.5,Simulation,3e-06,0.520041,0.275266,0.244775
Constant,2,1,1.6,Simulation,4.3e-05,0.481191,0.267283,0.213908
Exponential,2,1,1.6,Simulation,9e-06,0.532715,0.281829,0.250886
Constant,2,1,1.7,Simulation,5.9e-05,0.499767,0.27635,0.223417
Exponential,2,1,1.7,Simulation,7e-06,0.54431,0.289013,0.255297
Constant,2,1,1.8,Simulation,8.1e-05,0.516804,0.28698,0.229824
Exponential,2,1,1.8,Simulation,1.1e-05,0.556,0.295901,0.260099
Constant,2,1,1.9,Simulation,0.000192,0.533195,0.294701,0.238494
Exponential,2,1,1.9,Simulation,4.3e-05,0.568689,0.302517,0.266172
Constant,2,1,2.0,Simulation,0.000231,0.549421,0.303559,0.245862
Exponential,2,1,2.0,Simulation,6.4e-05,0.580239,0.309644,0.270595
Constant,2,1,2.1,Simulation,0.000342,0.564559,0.312371,0.252188
Exponential,2,1,2.1,Simulation,0.000121,0.592715,0.315853,0.276862
Constant,2,1,2.2,Simulation,0.000485,0.57948,0.319743,0.259737
Exponential,2,1,2.2,Simulation,0.000147,0.603606,0.321803,0.281803
Constant,2,1,2.3,Simulation,0.000792,0.593058,0.327178,0.26588
Exponential,2,1,2.3,Simulation,0.000242,0.614209,0.327588,0.286621
Constant,2,1,2.4,Simulation,0.001062,0.605913,0.333423,0.27249
Exponential,2,1,2.4,Simulation,0.000318,0.624033,0.3327,0.291333
Constant,2,1,2.5,Simulation,0.00147,0.617777,0.340254,0.277523
Exponential,2,1,2.5,Simulation,0.000462,0.634302,0.338385,0.295917
Constant,2,1,2.6,Simulation,0.002034,0.629451,0.345863,0.283588
Exponential,2,1,2.6,Simulation,0.000602,0.643874,0.343422,0.300452
Constant,2,1,2.7,Simulation,0.002666,0.640937,0.351966,0.288971
Exponential,2,1,2.7,Simulation,0.001008,0.653864,0.348614,0.30525
Constant,2,1,2.8,Simulation,0.003344,0.649679,0.356426,0.293253
Exponential,2,1,2.8,Simulation,0.001335,0.662193,0.353076,0.309117
Constant,2,1,2.9,Simulation,0.004504,0.660271,0.360608,0.299663
Exponential,2,1,2.9,Simulation,0.001693,0.671005,0.357645,0.31336
Constant,2,1,3.0,Simulation,0.005563,0.667748,0.365358,0.30239
Exponential,2,1,3.0,Simulation,0.00229,0.679106,0.363245,0.315861
Constant,2,1,3.1,Simulation,0.006933,0.676599,0.368506,0.308093
Exponential,2,1,3.1,Simulation,0.003004,0.687647,0.367082,0.320565
